	Unnamed: 0	conversation_id	lang	reply_settings	created_at	clean_text	text	author_id	referenced_tweets	id	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes	geo.coordinates.type	geo.coordinates.coordinates	textblob_Polarity	textblob_Subjectivity	vader_Polarity	vader_Subjectivity	AFINN_scores	AFINN_sentiments	SentiWordNet_scores	normalized_textblob_Polarity	normalized_textblob_Subjectivity	normalized_vader_Polarity	normalized_vader_Subjectivity	normalized_AFINN_scores	normalized_SentiWordNet_scores	our_label_mel	annotator	roberta_content	roberta_polarity	roberta_sentiment	keyword	normalized_roberta_polarity	textblob_label	vader_label	AFINN_label	SentiWordNet_label	roberta_label	our_label_sarik	our_label	our_label_anu
0	13190	1633665401883332608	en	everyone	3/9/23 3:05	rt  eladnehorai too many liberals are sleeping on rising fascism because of a few national political wins  just as they did when obama was	RT @EladNehorai: Too many liberals are sleeping on rising fascism because of a few national political wins, just as they did when Obama was…	2360557134.0	[{'type': 'retweeted', 'id': '1633632434972663808'}]	1.63367e+18	['1633665401883332608']	337	0	0	0							0.433333333	0.333333333	0.5859	0.275	4	positive	1.0	0.716666667	0.333333333	0.795897696	0.306919643	0.571428571	0.53968254	negative	melissa	RT @user Too many liberals are sleeping on rising fascism because of a few national political wins, just as they did when Obama was…	-0.635148943	negative	obama	0.07267254	positive	positive	neutral	neutral	negative	negative	negative	negative
1	7555	1633965977665966080	en	everyone	3/9/23 23:00	chatgpt msi a520ma pro am4 micro atx motherboard 10726 delivered   amazon uk via au https  tco ss6acztdf7	ChatGPT: MSI A520M-A Pro AM4 Micro ATX Motherboard $107.26 Delivered @ Amazon UK via AU https://t.co/ss6ACZTdF7	6791062.0		1.63397e+18	['1633965977665966080']	0	0	0	160							0.0	0.0	0.1779	0.108	0	neutral	0.0	0.5	0.0	0.589263105	0.120535714	0.489795918	0.412698413	neutral	melissa	ChatGPT: MSI A520M-A Pro AM4 Micro ATX Motherboard $107.26 Delivered @ Amazon UK via AU http	0.20696649	neutral	chatgpt	0.633469971	neutral	neutral	neutral	neutral	positive	neutral	neutral	neutral
2	1728	1633219223626432512	en	everyone	3/7/23 21:33	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	318072122.0	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1.63322e+18	['1633219223626432512']	9130	0	0	0							0.0	0.0	0.1531	0.118	0	neutral	0.0	0.5	0.0	0.576702963	0.131696429	0.489795918	0.412698413	neutral	melissa	"RT @user Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	-0.327477396	negative	#chrisrocklive	0.277562994	neutral	neutral	neutral	neutral	negative	negative	neutral	neutral
3	29831	1633874107552108544	en	everyone	3/9/23 16:55	rt  visegrad24 its time for the west to send patriot missile defense systems to moldova toorussia keeps using moldovan air space to av	"RT @visegrad24: It’s time for the West to send Patriot Missile Defense Systems to Moldova too.

Russia keeps using Moldovan air space to av…"	1.49706e+18	[{'type': 'retweeted', 'id': '1633639497408696326'}]	1.63387e+18	['1633874107552108545']	395	0	0	0							0.0	0.0	0.128	0.086	0	neutral	0.0	0.5	0.0	0.563990884	0.095982143	0.489795918	0.412698413	neutral	melissa	"RT @user It’s time for the West to send Patriot Missile Defense Systems to Moldova too.

Russia keeps using Moldovan air space to av…"	-0.099667989	neutral	ukraine	0.429270142	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral
4	1632	1633227958260473856	en	everyone	3/7/23 22:07	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	1.52284e+18	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1.63323e+18	['1633227958260473856']	9130	0	0	0							0.0	0.0	0.1531	0.118	0	neutral	0.0	0.5	0.0	0.576702963	0.131696429	0.489795918	0.412698413	neutral	melissa	"RT @user Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	-0.327477396	negative	#chrisrocklive	0.277562994	neutral	neutral	neutral	neutral	negative	negative	neutral	neutral
5	12348	1633669690164740096	en	everyone	3/9/23 3:23	rt  tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knewclapper knewschiff knewfbi knewd	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1.59114e+18	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1.63367e+18	['1633669690164740098']	3314	0	0	0							0.0	0.0	0.0	0.0	0	neutral	0.0	0.5	0.0	0.499164345	0.0	0.489795918	0.412698413	neutral	melissa	RT @user Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	-0.009999665	neutral	obama	0.488983768	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral
6	29245	1633874596947693568	en	everyone	3/9/23 16:57	rt  intermarium24    petr pavel has been sworn in as the president of the #czechrepublic#ukraine #ukrainian #czechia #ukrainewarn	"RT @intermarium24: 🇨🇿 🇨🇿 🇨🇿 Petr Pavel has been sworn in as the President of the #CzechRepublic.

#Ukraine #Ukrainian #Czechia #UkraineWarN…"	1.57759e+18	[{'type': 'retweeted', 'id': '1633870468699811841'}]	1.63387e+18	['1633874596947693568']	11	0	0	0							0.0	0.0	0.0	0.0	0	neutral	0.0	0.5	0.0	0.499164345	0.0	0.489795918	0.412698413	neutral	melissa	"RT @user 🇨🇿 🇨🇿 🇨🇿 Petr Pavel has been sworn in as the President of the #CzechRepublic.

#Ukraine #Ukrainian #Czechia #UkraineWarN…"	0.039978679	neutral	ukraine	0.522266291	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral
7	14926	1633656179078332416	en	everyone	3/9/23 2:29	rt  tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knewclapper knewschiff knewfbi knewd	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1.51874e+18	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1.63366e+18	['1633656179078332416']	3317	0	0	0							0.0	0.0	0.0	0.0	0	neutral	0.0	0.5	0.0	0.499164345	0.0	0.489795918	0.412698413	neutral	melissa	RT @user Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	-0.009999665	neutral	obama	0.488983768	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral
8	20332	1633670055689871360	en	everyone	3/9/23 3:24	rt  msignorile fox news edits out trump saying he mightve let russia take over parts of ukraine https  tco v5m2dqi8xz via  thedailybe	RT @MSignorile: Fox News Edits Out Trump Saying He Might’ve Let Russia ‘Take Over’ Parts of Ukraine https://t.co/V5M2DqI8xZ via @thedailybe…	34155494.0	[{'type': 'retweeted', 'id': '1633665830167666688'}]	1.63367e+18	['1633670055689871363']	15	0	0	0							0.0	0.0	0.0	0.0	0	neutral	0.0	0.5	0.0	0.499164345	0.0	0.489795918	0.412698413	neutral	melissa	RT @user Fox News Edits Out Trump Saying He Might’ve Let Russia ‘Take Over’ Parts of Ukraine http via @user	-0.099667996	neutral	russia	0.429270137	neutral	neutral	neutral	neutral	neutral	negative	neutral	neutral
9	3706	1633078142993670144	en	everyone	3/7/23 12:12	rt  phonchrist chris rock jokes about michael jackson wasnt funny at all  its just funny how yall scared to talk about elvis dating an	RT @Phonchrist: Chris Rock jokes about MIchael jackson wasn’t funny at all . It’s just funny how y’all scared to talk about Elvis dating an…	1.29011e+18	[{'type': 'retweeted', 'id': '1632688531943354374'}]	1.63308e+18	['1633078142993670146']	144	0	0	0							0.25	1.0	0.6249	0.548	8	positive	0.75	0.625	1.0	0.815649532	0.611607143	0.653061225	0.507936508	negative	melissa	RT @user Chris Rock jokes about MIchael jackson wasn’t funny at all . It’s just funny how y’all scared to talk about Elvis dating an…	-0.68047601	negative	#chrisrocklive	0.042487483	positive	positive	positive	neutral	negative	negative	negative	negative
