	conversation_id	lang	reply_settings	created_at	clean_text	text	author_id	referenced_tweets	id	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes	geo.coordinates.type	geo.coordinates.coordinates	textblob_Polarity	textblob_Subjectivity	vader_Polarity	vader_Subjectivity	AFINN_scores	AFINN_sentiments	SentiWordNet_scores	normalized_textblob_Polarity	normalized_textblob_Subjectivity	normalized_vader_Polarity	normalized_vader_Subjectivity	normalized_AFINN_scores	normalized_SentiWordNet_scores	our_label	annotator	roberta_content	roberta_polarity	roberta_sentiment	keyword	normalized_roberta_polarity	textblob_label	vader_label	AFINN_label	SentiWordNet_label	roberta_label
96	1633842088692576256	en	everyone	3/9/2023 14:48	rt  sakuraayumim imam mahdi fake or a liar allah knows the best# #__ # #__ #	"RT @SakuraayumiM: Imam Mahdi? Fake or a liar... Allah knows the best.
#?????????????? #????_?????_???????? #?????? #?????_???????_??????? #"	1627320000000000000	[{'type': 'retweeted', 'id': '1632676802404696067'}]	1633840000000000000	['1633842088692576258']	48	0	0	0							0.25	0.65	-0.296	0.639	-3	negative	0.75	0.625	0.65	0.349252975	0.713169643	0.428571429	0.507936508	negative	sarik	"RT @user Imam Mahdi? Fake or a liar... Allah knows the best.
#?????????????? #????_?????_???????? #?????? #?????_???????_??????? #"	-0.309506953	negative	#chrisrocklive	0.289530211	positive	negative	neutral	neutral	negative
185	1633724515212742656	en	everyone	1678345252000000000	rt  netflix #chrisrocklive tonight at 10pm et  7pm pt dont miss what chris rock will say in the first comedy special to stream live on	"RT @netflix: #ChrisRockLive TONIGHT at 10pm ET/ 7pm PT. 
Don’t miss what Chris Rock will say in the first comedy special to stream LIVE on…"	2348520354	[{'type': 'retweeted', 'id': '1631421624359739393'}]	1633724515212742656	['1633724515212742656']	2718	0	0	0							0.2478354978	0.4682539683	0.5574	0.327	-1	negative	0.0	0.6239177489000001	0.4682539683	0.7814636617	0.3649553571	0.4693877551	0.4126984127	neutral	anu	"RT @user #ChrisRockLive TONIGHT at 10pm ET/ 7pm PT. 
Don’t miss what Chris Rock will say in the first comedy special to stream LIVE on…"	0.5370495915	positive	#chrisrocklive	0.8532851518000001	neutral	positive	neutral	neutral	positive
211	1633695793629523968	en	everyone	3/9/23 5:06	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	2397467817	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633700000000000000	['1633695793629523971']	9130	0	0	0							0.0	0.0	0.1531	0.118	0	neutral	0.0	0.5	0.0	0.576702963	0.131696429	0.489795918	0.412698413	neutral	melissa	"RT @user Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	-0.327477396	negative	#chrisrocklive	0.277562994	neutral	neutral	neutral	neutral	negative
217	1633694879942418432	en	everyone	2023-03-09 05:03:06	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	919387431140388864	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633694879942418432	['1633694879942418432']	9130	0	0	0							0.0	0.0	0.1531	0.118	0	neutral	0.0	0.5	0.0	0.5767029628	0.1316964286	0.4897959184	0.4126984127	neutral	anu	"RT @user Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	-0.3274773955	negative	#chrisrocklive	0.2775629943	neutral	neutral	neutral	neutral	negative
218	1633694024090386432	en	everyone	3/9/23 4:59	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	341898069	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633690000000000000	['1633694024090386433']	9130	0	0	0							0.0	0.0	0.1531	0.118	0	neutral	0.0	0.5	0.0	0.576702963	0.131696429	0.489795918	0.412698413	neutral	melissa	"RT @user Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	-0.327477396	negative	#chrisrocklive	0.277562994	neutral	neutral	neutral	neutral	negative
244	1633668435476463616	en	everyone	2023-03-09 03:18:01	rt  netflixisajoke take an exclusive look at  chrisrocks year on tour leading up to his historic night #chrisrocklivefull video https	"RT @NetflixIsAJoke: Take an exclusive look at @ChrisRock's year on tour leading up to his historic night. #ChrisRockLive

Full video: https…"	42976687	[{'type': 'retweeted', 'id': '1633188304689549313'}]	1633668435476463616	['1633668435476463616']	8	0	0	0							0.175	0.275	0.128	0.097	4	positive	-0.625	0.5875	0.275	0.5639908838000001	0.1082589286	0.5714285714	0.3333333333	positive	anu	"RT @user Take an exclusive look at @user year on tour leading up to his historic night. #ChrisRockLive

Full video: http"	0.4381993115	positive	#chrisrocklive	0.7874569043	neutral	neutral	neutral	negative	positive
251	1633664673462603776	en	everyone	3/9/2023 3:03	rt  cinemashogun roasted will smith reacts to new chris rock stand up   did he really just try to play the victim #chrisrocklive #chr	"RT @CinemaShogun: ROASTED! Will Smith Reacts To New Chris Rock Stand Up | Did He Really Just Try To Play The Victim !?

#ChrisRockLive #chr"	1618330000000000000	[{'type': 'retweeted', 'id': '1633655442181091330'}]	1633660000000000000	['1633664673462603776']	3	0	0	0							0.087121212	0.234848485	0.081	0.279	-3	negative	1.0	0.543560606	0.234848485	0.540187389	0.311383929	0.428571429	0.53968254	negative	sarik	"RT @user ROASTED! Will Smith Reacts To New Chris Rock Stand Up | Did He Really Just Try To Play The Victim !?

#ChrisRockLive #chr"	-0.059928108	neutral	#chrisrocklive	0.455734475	neutral	neutral	neutral	neutral	neutral
280	1633645288869994496	en	everyone	3/9/2023 1:46	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix"	2269427182	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633650000000000000	['1633645288869994498']	9130	0	0	0							0.0	0.0	0.1531	0.118	0	neutral	0.0	0.5	0.0	0.576702963	0.131696429	0.489795918	0.412698413	negative	sarik	"RT @user Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix"	-0.327477396	negative	#chrisrocklive	0.277562994	neutral	neutral	neutral	neutral	negative
285	1633637250419367936	en	everyone	1678324446000000000	you must read important notice different between fixed match and prediction match  +2348162198031 #jisoocomingsoonposter #jeffsatur #yemicregx #blackpink #chrisrocklive https  tco jmpvyjr1ss	"YOU MUST READ  ‼️‼️‼️‼️
IMPORTANT NOTICE DIFFERENT BETWEEN FIXED MATCH AND PREDICTION MATCH ‼️‼️‼️‼️‼️‼️ +2348162198031 #JISOOComingSoonPoster #JeffSatur #YemiCregx #BLACKPINK #ChrisRockLive https://t.co/jMPVyjR1Ss"	1631666639862132736		1633637250419367936	['1633637250419367937']	3	0	5	67							0.1666666667	0.6000000000000001	0.2023	0.096	2	positive	1.0	0.5833333333	0.6000000000000001	0.6016206635	0.1071428571	0.5306122449	0.5396825397	neutral	melissa	"YOU MUST READ  ‼️‼️‼️‼️
IMPORTANT NOTICE DIFFERENT BETWEEN FIXED MATCH AND PREDICTION MATCH ‼️‼️‼️‼️‼️‼️ +2348162198031 #JISOOComingSoonPoster #JeffSatur #YemiCregx #BLACKPINK #ChrisRockLive http"	0.0996679887	neutral	#chrisrocklive	0.5620157249000001	neutral	neutral	neutral	neutral	neutral
359	1633586187700150272	en	everyone	1678312272000000000	rt  netflixisajoke shout out to  ohsnapjbsmoove for flying out to la for the #chrisrocklive watch party https  tco b4pins8riu	RT @NetflixIsAJoke: Shout out to @ohsnapjbsmoove for flying out to LA for the #ChrisRockLive watch party! https://t.co/B4pIns8rIU	852279096310546432	[{'type': 'retweeted', 'id': '1633573306157916162'}]	1633586187700150272	['1633586187700150272']	9	0	0	0							0.0	0.0	0.40190000000000003	0.17200000000000001	0	neutral	0.0	0.5	0.0	0.7027095467000001	0.19196428570000001	0.48979591840000003	0.4126984127	positive	anu	RT @user Shout out to @user for flying out to LA for the #ChrisRockLive watch party! http	0.6910694838	positive	#chrisrocklive	0.9558529906000001	neutral	positive	neutral	neutral	positive
