	lang	reply_settings	author_id	created_at	referenced_tweets	conversation_id	id	text	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id
0	en	everyone	1600633040660840450	2023-03-09T02:26:36.000Z	[{'type': 'retweeted', 'id': '1633465085313298438'}]	1633655495599828993	1633655495599828993	"RT @MarissaMeleske: MY INTERNET JUST BROKE OH MY GOD! 

No one deserves to be standing next to the GOAT President @realDonaldTrump more tha…"	['1633655495599828993']	55	0	0	0	0		
1	en	everyone	1443610083124858882	2023-03-09T02:26:35.000Z	[{'type': 'retweeted', 'id': '1633596405624307715'}]	1633655489031548928	1633655489031548928	"RT @votevets: Unbelievable. GOP “Oversight” Chair @JamesComer thinks Trump’s plan to bomb Mexico was a great idea.  

MAGA Republicans are…"	['1633655489031548928']	63	0	0	0	0		
2	en	everyone	1084565021068279808	2023-03-09T02:26:35.000Z	[{'type': 'retweeted', 'id': '1633497833050640384'}]	1633655488893075458	1633655488893075458	"RT @cardon_brian: At the origins of Covid-19 hearing, Raskin (D-MD) in true fashion won't let the MAGA (R)'s control the narrative. ""No mat…"	['1633655488893075458']	478	0	0	0	0		
3	en	everyone	1508971222838611969	2023-03-09T02:26:34.000Z	[{'type': 'retweeted', 'id': '1633459777388032000'}]	1633655486561263616	1633655486561263616	RT @Trump_Detester: Hey MAGA dipshits, this is your daily reminder that Kyle Rittenhouse is a double murderer, Ashli Babbitt was a domestic…	['1633655486561263616']	88	0	0	0	0		
4	en	everyone	1153427894787379200	2023-03-09T02:26:34.000Z	[{'type': 'retweeted', 'id': '1633653982995312640'}]	1633655486368325633	1633655486368325633	RT @Sally718068071: @tedlieu Dear Ted lieu  Maga ppl thinks you are stupid. Ted hides the truth about everything to benefit from his lies	['1633655486368325633']	1	0	0	0	0		
5	en	everyone	1614336103749656579	2023-03-09T02:26:33.000Z	[{'type': 'replied_to', 'id': '1633566438865682435'}]	1633195577289871360	1633655481687240705	@theangriestbuni @charliekirk11 Maybe if it looked like they were prompted to unhinge a Trump rally.  I would expect them to line up w face masks and Maga hats front and center?	['1633655481687240705']	0	0	0	0	0	798601214862774272	
6	en	everyone	985667565392465921	2023-03-09T02:26:32.000Z	[{'type': 'replied_to', 'id': '1633626803938918404'}]	1633626803938918404	1633655476985405443	"@RepMaryMiller @tperkins @FRCdc The Homegrown Radicalized Domestic Terrorist Organization MAGA put 8T on the National Deficit in 4 years under Donald J Trump.

That’s 25% of the entire National Deficit. Never called it reckless spending.

Now they want to bankrupt America by not raising the debt ceiling. https://t.co/ptmN6I0Tp2"	['1633655476985405443']	0	0	0	0	0	1343656635907125250	
7	en	everyone	1598398735603695639	2023-03-09T02:26:32.000Z	[{'type': 'retweeted', 'id': '1548038280259649536'}]	1633655476876455936	1633655476876455936	"RT @DerrickEvans_WV: Never before released footage of #Jan6 that I took. 

Received a fist bump from a police officer who never asked anyon…"	['1633655476876455936']	12309	0	0	0	0		
8	en	everyone	991444445148180480	2023-03-09T02:26:31.000Z	[{'type': 'retweeted', 'id': '1633605111372197888'}]	1633655473864953857	1633655473864953857	RT @jennycohn1: It isn’t exactly fun for me to take on MAGA thugs who glorify violence like veteran Teddy Daniels. Please help me by amplif…	['1633655473864953857']	104	0	0	0	0		
9	en	mentionedUsers	15674907	2023-03-09T02:26:31.000Z	[{'type': 'quoted', 'id': '1633608712567894016'}]	1633655472656883714	1633655472656883714	Exactly!!! they’re all marks. And can’t admit that they’ve been conned! They’re not subscribers… They’re suckers, and there’s one born every minute in MAGA world. https://t.co/6gQlGCSZfC	['1633655472656883714']	0	0	0	0	0		e4a0d228eb6be76b
10	en	everyone	946292347	2023-03-09T02:26:30.000Z	[{'type': 'retweeted', 'id': '1633283175337082881'}]	1633655471759323140	1633655471759323140	RT @BettyBowers: We can't spread Tucker Carlson's genuine, private hatred of Donald Trump enough to the MAGA zombies who blindly watch and…	['1633655471759323140']	1595	0	0	0	0		
