Column1	Unnamed: 0	conversation_id	lang	reply_settings	created_at	clean_text	our_label	text	author_id	referenced_tweets	id	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes	geo.coordinates.type	geo.coordinates.coordinates	Column3
827	827	1.63336E+18	en	everyone	3/8/2023 1:42	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	Neutral	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	538526861	"[{'type': 'retweeted', 'id': '1632525319973289985'}]"	1.63336E+18	['1633357619212480514']	9130	0	0	0							
1216	1216	1.63328E+18	en	everyone	3/7/2023 20:21	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	Neutral	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	90978523	"[{'type': 'retweeted', 'id': '1632525319973289985'}]"	1.63328E+18	['1633276688678174721']	9130	0	0	0							
1719	1719	1.63322E+18	en	everyone	3/7/2023 16:37	rt mhaquemk trying winning moment check win offer http co jpcyt nj amazon amazon homedecoration	Positive	"RT @mhaquemk: Trying is winning at the moment. 
Check and win more offer : https://t.co/JPCYT8t1Nj

#Amazon???????? #Amazon #homedecoration…"	1.48518E+18	"[{'type': 'retweeted', 'id': '1632794006743846913'}]"	1.63322E+18	['1633220307405225990']	314	0	0	0							
2178	2178	1.63318E+18	en	everyone	3/7/2023 14:03	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	Neutral	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	1.41031E+18	"[{'type': 'retweeted', 'id': '1632525319973289985'}]"	1.63318E+18	['1633181531626766339']	9130	0	0	0							
2554	2554	1.63315E+18	en	everyone	3/7/2023 12:16	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	Neutral	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	1419525133	"[{'type': 'retweeted', 'id': '1632525319973289985'}]"	1.63315E+18	['1633154768297246721']	9130	0	0	0							
2864	2864	1.63313E+18	en	everyone	3/7/2023 10:57	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	Neutral	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	2668380812	"[{'type': 'retweeted', 'id': '1632525319973289985'}]"	1.63313E+18	['1633134896515518464']	9130	0	0	0							
3000	3000	1.63313E+18	en	everyone	3/7/2023 10:20	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	Neutral	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	1.51439E+18	"[{'type': 'retweeted', 'id': '1632525319973289985'}]"	1.63313E+18	['1633125378675073033']	9130	0	0	0							
3215	3215	1.63311E+18	en	everyone	3/7/2023 9:19	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	Neutral	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	397390627	"[{'type': 'retweeted', 'id': '1632525319973289985'}]"	1.63311E+18	['1633110207957028865']	9130	0	0	0							
3490	3490	1.63309E+18	en	everyone	3/7/2023 8:07	rt mhaquemk trying winning moment check win offer http co jpcyt nj amazon amazon homedecoration	Positive	"RT @mhaquemk: Trying is winning at the moment. 
Check and win more offer : https://t.co/JPCYT8t1Nj

#Amazon???????? #Amazon #homedecoration…"	1.61671E+18	"[{'type': 'retweeted', 'id': '1632794006743846913'}]"	1.63309E+18	['1633092117651423232']	314	0	0	0							
3781	3781	1.63307E+18	en	everyone	3/7/2023 6:55	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	Neutral	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	1.50953E+18	"[{'type': 'retweeted', 'id': '1632525319973289985'}]"	1.63307E+18	['1633073906037964802']	9130	0	0	0							
4070	4070	1.63305E+18	en	everyone	3/7/2023 5:01	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	Neutral	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	3139955657	"[{'type': 'retweeted', 'id': '1632525319973289985'}]"	1.63305E+18	['1633045245540663297']	9130	0	0	0							
4454	4454	1.63301E+18	en	everyone	3/7/2023 2:44	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	Neutral	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	2176450648	"[{'type': 'retweeted', 'id': '1632525319973289985'}]"	1.63301E+18	['1633010662757523456']	9130	0	0	0							
5044	5044	1.63297E+18	en	everyone	3/7/2023 0:02	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	Neutral	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	2564631925	"[{'type': 'retweeted', 'id': '1632525319973289985'}]"	1.63297E+18	['1632970056719122432']	9130	0	0	0							
5716	5716	1.63195E+18	en	everyone	3/4/2023 4:20	rt deetwocents another american tragedy full video tiktok u tyrenichols wokeaf http co x jg yd	Negative	RT @DeeTwoCents: Another American Tragedy. Full video is on @tiktok_us #TyreNichols #WokeAF https://t.co/x4I11JG6YD	16640490	"[{'type': 'retweeted', 'id': '1619309125346930689'}]"	1.63195E+18	['1631947749896736771']	316	0	0	0							
5826	10116	1.63398E+18	en	everyone	3/9/2023 19:11	chatgpt learning judgement http co r zzi euyf	Neutral	"On ChatGPT, learning, and judgement. https://t.co/R5Zzi4EUYf"	378985653		1.63398E+18	['1633983859749683200']	0	0	0	1							
5845	10135	1.63394E+18	en	everyone	3/9/2023 19:10	spacex oneweb flokiceo visit mar going together bonk kishu cryptogpt crypto chatgpt bnb btc volt shibarium shibarmy floki shib dogelonmars voltinu tsuka babydogecoin qom metaverse nft elonmusk flokiceoo http co izlmrdahsg	Neutral	"@SpaceX @OneWeb #FLOKICEO I'D TO VISIT MARS, WHEN ARE WE GOING TOGETHER? #Bonk  #KISHU #CryptoGPT #Crypto #ChatGPT #BNB #BTC #VOLT #Shibarium #SHIBARMY #FLOKI #SHIB #DogelonMars #VOLTINU #TSUKA #BabyDogeCoin #QOM #Metaverse #NFT @elonmusk @FlokiCeoo https://t.co/IzlmrdAHsg"	1.63397E+18	"[{'type': 'replied_to', 'id': '1633941127081652224'}]"	1.63398E+18	['1633983641150791683']	0	0	0	1	34743251						
5856	10146	1.63398E+18	en	everyone	3/9/2023 19:10	decided experiment ai voice ai written script chatgpt create conversation fictional expert http co e vffirc	Neutral	"I decided to then experiment by having AI voice the AI-written script and then have ChatGPT create a conversation between it and a fictional expert

https://t.co/Es2VffIrC8"	622313	"[{'type': 'replied_to', 'id': '1633977826754936834'}]"	1.63398E+18	['1633983560599076869']	0	0	0	3	622313						
5927	10217	1.63398E+18	en	everyone	3/9/2023 19:06	chatgpt available azure openai service cloudcomputing http co vjp gphnie	Neutral	ChatGPT is now available in Azure OpenAI Service #CloudComputing  https://t.co/VjP5GphniE	9.25281E+17		1.63398E+18	['1633982591589031937']	0	0	0	0							
6141	10431	1.63398E+18	en	everyone	3/9/2023 18:58	rt nfsc balloon incident occurred u definitely exceed outcome pearl harbor incident japan b	Negative	RT @nfsc110: The balloon incident that occurred in the U.S. will definitely exceed the outcome of the Pearl Harbor incident in Japan. The b…	1.50564E+18	"[{'type': 'retweeted', 'id': '1633836545068367872'}]"	1.63398E+18	['1633980595796623369']	7	0	0	0							
6167	10457	1.63398E+18	en	everyone	3/9/2023 18:57	congress grapple ai revolution chatgpt http co mmjwlxaibj	Positive	"Congress Grapples with #AI #Revolution, #ChatGPT https://t.co/MmJwLXAIbj"	1.24663E+18		1.63398E+18	['1633980343710781441']	0	0	0	8							
6207	10497	1.63397E+18	en	everyone	3/9/2023 18:56	daveceth legit even see anything saying mean anything searched trending term chatgpt zk mean anything way two term thrown together result use case	Neutral	"@daveceth I legit don't even see how anything they're saying means anything other than ""we searched for trending terms"".

chatgpt + zk doesn't mean anything.   there is no way those two terms thrown together results in a use-case."	9.11316E+17	"[{'type': 'replied_to', 'id': '1633979419835375617'}]"	1.63398E+18	['1633980035349585920']	0	1	1	9	12364942						
6680	10970	1.63398E+18	en	everyone	3/9/2023 18:37	rt aiape coin aiape presale announcement listing pinksale th mar utc fair launch http co rjgy e fus kyc audi	Neutral	"RT @AIApe_Coin: $AIAPE Presale Announcement ??

Listing on #Pinksale 15th Mar at 13:00UTC

??Fair Launch??
https://t.co/RjGY3E7FUs

? KYC+Audi…"	1.63334E+18	"[{'type': 'retweeted', 'id': '1633471884519182336'}]"	1.63398E+18	['1633975435397849089']	2858	0	0	0							
6765	11055	1.63397E+18	en	everyone	3/9/2023 18:34	time tell chatgpt respond every query star trek fan fiction	Neutral	"For a time, tell ChatGPT to respond to every query as Star Trek fan fiction."	18308817		1.63397E+18	['1633974465905283074']	0	0	0	55							
6828	11118	1.63397E+18	en	everyone	3/9/2023 18:31	rt architecture eu watermarking chatgpt http co vpsjhckuu art aiart machinelearning nft mlart deeplearning mlsogood artific	Neutral	"RT @architecture_eu: Watermarking chatGPT
https://t.co/VPSjhCKUu7
#art #AIart #machinelearning #NFT #MLart #deeplearning #MLsoGood #artific…"	7.70285E+17	"[{'type': 'retweeted', 'id': '1633973761492877313'}]"	1.63397E+18	['1633973784486002689']	1	0	0	0							
7236	11526	1.63397E+18	en	everyone	3/9/2023 18:15	ai ushering textpocalypse http co ng v lsqrc via theatlantic	Neutral	AI Is Ushering in a Textpocalypse - https://t.co/NG2V6lSQrc via @TheAtlantic	8883702		1.63397E+18	['1633969812119638017']	0	0	0	30							
7391	11681	1.63397E+18	en	everyone	3/9/2023 18:08	rt breaking watch chatgpt asks cia director burn question http co jhcqmfbbxd	Negative	RT @Breaking911: WATCH: ChatGPT asks CIA Director Burns a question https://t.co/jhCQmfbBxD	1.38024E+18	"[{'type': 'retweeted', 'id': '1633966248911306753'}]"	1.63397E+18	['1633968070250168322']	43	0	0	0							
7585	11875	1.63397E+18	en	everyone	3/9/2023 18:01	rt zachtratar another big new release embra new dramatic speed amp response quality improvement via chatgpt api	Positive	"RT @zachtratar: Another big new release of Embra ?! Here’s what’s new:

1) Dramatic speed &amp; response quality improvements via ChatGPT API
2…"	470790728	"[{'type': 'retweeted', 'id': '1633927733146451968'}]"	1.63397E+18	['1633966289009147906']	2	0	0	0							
