	text	id	created_at	reply_settings	edit_history_tweet_ids	conversation_id	referenced_tweets	author_id	lang	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id
0	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672813168009216	2023-03-09T03:35:25.000Z	everyone	['1633672813168009216']	1633672813168009216	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1599461166425800706	en	3313	0	0	0	0		
1	RT @AfricanHub_: Gaddafi and Obama were best Friends. But since Obama was now on the West side making the matters worse as the president of…	1633672805832183808	2023-03-09T03:35:23.000Z	everyone	['1633672805832183808']	1633672805832183808	[{'type': 'retweeted', 'id': '1633541739188215839'}]	131380968	en	200	0	0	0	0		
2	"RT @GeneralMCNews: Obama knew
Clinton knew
Biden knew
Comey knew
Brennan knew
McCabe knew
Strzok knew
Clapper knew
Schiff knew

FBI knew
DO…"	1633672800996298752	2023-03-09T03:35:22.000Z	everyone	['1633672800996298752']	1633672800996298752	[{'type': 'retweeted', 'id': '1633628195684507650'}]	61406792	en	12	0	0	0	0		
3	RT @MichelleObama: This #InternationalWomensDay, I hope you’ll read my piece with Amal Clooney and @MelindaGates in @TIME about how we’re w…	1633672800312459265	2023-03-09T03:35:22.000Z	everyone	['1633672800312459265']	1633672800312459265	[{'type': 'retweeted', 'id': '1633467831319769089'}]	1351953370718875648	en	1232	0	0	0	0		
4	@MsAvaArmstrong A 4th Obama term	1633672798492082176	2023-03-09T03:35:21.000Z	everyone	['1633672798492082176']	1633670685716541441	[{'type': 'replied_to', 'id': '1633670685716541441'}]	152007388	en	0	0	0	0	0	2449913803	
5	"RT @sarahlevysource: Happy #InternationalWomensDay!

Sarah, Jenn, Karen, Deb, Emily, Catherine (and Dan) with Michelle Obama (May 2019) 💙 #…"	1633672796063555586	2023-03-09T03:35:21.000Z	everyone	['1633672796063555586']	1633672796063555586	[{'type': 'retweeted', 'id': '1633580281436184579'}]	322058734	en	5	0	0	0	0		
6	"RT @CitizenFreePres: KJP calls Obama the president: 

""President Obama announced that, pardon me, President Biden. Woah! ... That is news!""…"	1633672794700681218	2023-03-09T03:35:21.000Z	everyone	['1633672794700681218']	1633672794700681218	[{'type': 'retweeted', 'id': '1628830231443439616'}]	873582075600789504	en	485	0	0	0	0		
7	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672791697534976	2023-03-09T03:35:20.000Z	everyone	['1633672791697534976']	1633672791697534976	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1587624949715533826	en	3313	0	0	0	0		
8	@italinquen It’s because the media wants us divided and fighting and our corrupt politicians are dividing us just as much. Most teachers anymore just suck. They teach hate. Race relations have gone back 30 years. Thanks Obama.	1633672777621467137	2023-03-09T03:35:17.000Z	everyone	['1633672777621467137']	1633578643640270849	[{'type': 'replied_to', 'id': '1633578643640270849'}]	3189275047	en	0	0	0	0	0	2638998055	
9	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672777243803655	2023-03-09T03:35:16.000Z	everyone	['1633672777243803655']	1633672777243803655	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1598424053102120961	en	3313	0	0	0	0		
10	RT @MsAvaArmstrong: Michelle Obama for President in 2024? It Could Happen https://t.co/8VOOFxhIPu	1633672768242991105	2023-03-09T03:35:14.000Z	everyone	['1633672768242991105']	1633672768242991105	[{'type': 'retweeted', 'id': '1633670685716541441'}]	1046559976834158592	en	6	0	0	0	0		
11	"RT @Tigraway14myd: @JosepBorrellF
+130K gang rapped women, girls and children of Tigray are left with out reliable justice. Therefore, on t…"	1633672766191726593	2023-03-09T03:35:14.000Z	everyone	['1633672766191726593']	1633672766191726593	[{'type': 'retweeted', 'id': '1633640926936731648'}]	1586464057015558147	en	23	0	0	0	0		
12	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672763054465024	2023-03-09T03:35:13.000Z	everyone	['1633672763054465024']	1633672763054465024	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1445565990301888515	en	3313	0	0	0	0		
13	RT @MsAvaArmstrong: Michelle Obama for President in 2024? It Could Happen https://t.co/8VOOFxhIPu	1633672753160093698	2023-03-09T03:35:11.000Z	everyone	['1633672753160093698']	1633672753160093698	[{'type': 'retweeted', 'id': '1633670685716541441'}]	152007388	en	6	0	0	0	0		
14	"RT @JudicialWatch: ""Trump would have been driven out of office by Deep State/Biden/Obama/Clinton gang if Judicial Watch hadn’t taken lead e…"	1633672748311486464	2023-03-09T03:35:10.000Z	everyone	['1633672748311486464']	1633672748311486464	[{'type': 'retweeted', 'id': '1633648806506950656'}]	1550564941933027328	en	105	0	0	0	0		
15	"@joncoopertweets Wasn't Obama president when Crimea was taken?

Or are you denying history?"	1633672742078652418	2023-03-09T03:35:08.000Z	everyone	['1633672742078652418']	1633495440686739457	[{'type': 'replied_to', 'id': '1633495440686739457'}]	937789632263188480	en	0	0	0	0	0	27493883	
16	RT @eclipsethis2003: Peaceful protests says Former First Lady Michelle Obama. https://t.co/OYmhPHZfZQ	1633672739159527424	2023-03-09T03:35:07.000Z	everyone	['1633672739159527424']	1633672739159527424	[{'type': 'retweeted', 'id': '1633495741028003842'}]	47796987	en	353	0	0	0	0		
17	RT @MsAvaArmstrong: TUCKER CARLSON: Will we see a whole lot more of Michelle Obama in the next two years? | Fox News https://t.co/It2yNmTjZ7	1633672737037205504	2023-03-09T03:35:07.000Z	everyone	['1633672737037205504']	1633672737037205504	[{'type': 'retweeted', 'id': '1633670171138330627'}]	1592231377965121536	en	6	0	0	0	0		
18	"@Snofox6 Just another day in Obama Nation...
Shame..."	1633672733107142656	2023-03-09T03:35:06.000Z	everyone	['1633672733107142656']	1633669404759040002	[{'type': 'replied_to', 'id': '1633669404759040002'}]	1085012255488516096	en	0	0	0	0	0	1412219326854316035	
19	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672711905120256	2023-03-09T03:35:01.000Z	everyone	['1633672711905120256']	1633672711905120256	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1593660163113639938	en	3313	0	0	0	0		
20	"RT @GeorgePapa19: Just in.

https://t.co/LT5bVEY1BF"	1633672686332416000	2023-03-09T03:34:55.000Z	everyone	['1633672686332416000']	1633672686332416000	[{'type': 'retweeted', 'id': '1633571576095592448'}]	1607607611343663105	en	266	0	0	0	0		
21	@CovfefeMore @bryanl_1998 @NickAdamsinUSA Barrack Obama has millions. Does that make him cooler in your eyes?	1633672685615022081	2023-03-09T03:34:55.000Z	everyone	['1633672685615022081']	1633518386536751120	[{'type': 'replied_to', 'id': '1633519180690464768'}]	1340873961379409921	en	0	0	0	0	0	1108505201965707265	
